Area,Fatal (Y/N),Area_Lat,Area_Lng
Tafea Province,1,-18.7237827,169.0645056
Taitung ,2,22.7613207,121.1438152
Talasea,1,-5.548690199999999,150.1358366
Tamil Nadu,1,11.1271225,78.6568942
Taranto province,1,40.5740901,17.2429976
Tarawa Atoll,1,1.4518171,172.9716617
Tasmania,22,-41.4545196,145.9706647
Tavenui,1,-16.8414365,-179.9813445
Taveuni,5,-16.8414365,-179.9813445
Texas,52,31.9685988,-99.9018131
Thessaly,1,39.6102887,22.047637
Timor,1,-9.862794599999999,124.3310364
Tokyo,2,35.6803997,139.7690174
Tongapatu Group,2,-21.1666667,-175.1666667
Torres Strait,4,-10.2199025,141.9368545
Transvaal,1,43.2303525,-81.18293729999999
Trinidad,2,10.691803,-61.222503
Trois-Bassins,1,-21.1009479,55.3309395
Tuamotus,6,-18.2060943,-142.8201005
Tuscany,1,43.7710513,11.2486208
Tyrrhenian Sea,8,40.0769862,11.3431058
UNKNOWN,192,35.2205194,-80.8575444
US Virgin Islands,3,18.335765,-64.896335
Umm al Qaywayan Province,1,25.5204824,55.7133909
United Arab Emirates,1,23.424076,53.847818
Upolu Island,1,-13.9134084,-171.734942
Valpariso Province,1,-33.0456463,-71.62036069999999
Vanua Levu,5,-16.6268225,179.0179332
Vava,3,34.1525143,-118.3524612
Vavau,3,-18.622756,-173.9902982
Venice Province,1,45.44146850000001,12.3152672
Veracruz,10,19.173773,-96.1342241
Victoria,51,28.8052674,-97.0035982
Virginia,11,37.4315734,-78.6568942
Vis Island,1,43.0459364,16.1540557
Viscayan Sea,1,11.432824,123.5280072
Vita Levu,3,-17.8483187,178.0118473
Viti Levu,2,-17.8483187,178.0118473
Vitu Levu,3,-17.8483187,178.0118473
Wakaya Island,1,-17.6160613,179.0012007
Wakayama Prefecture,1,33.9480914,135.3745358
Wake Island,1,19.279619,166.6499348
Walkers Cay,1,27.2599407,-78.4034188
Wallis and Futuna,1,-14.2938,-178.1165
Washington,2,47.7510741,-120.7401385
West Africa,2,13.531665,-2.4604145
West End,2,36.0679307,-94.16579949999999
West New Britain Province,1,-5.704743199999999,150.0259466
Western Australia,146,-27.6728168,121.6283098
Western Cape Province,158,-33.2277918,21.8568586
Western Caroline Islands,4,5.5530091,150.1860176
Western District,1,30.2680953,-97.74841819999999
Western Luzon Island,1,16.5662318,121.2626366
Western Province,3,6.901608599999999,80.0087746
Wick,1,47.6489637,-122.3575369
Worcestershire,1,52.2545225,-2.2668382
Yasawa Islands,2,-17.0249832,177.2505928
Ysabel Island,1,-7.662504499999999,158.6201072
Zadar County,1,44.146939,15.6164943
Zamboanga del Sur Province,1,7.838305399999999,123.2966657
